timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,est_fl,est_ll
03:28.2,3.531481481,0,0,1,0,0
03:34.2,3.474768519,1.225000024,0.272222221,1,2.45,0.340277778
03:40.0,3.236574074,1.225000024,0.725925922,1,2.45,0.816666667
03:45.7,2.99837963,1.225000024,0.068055555,1,2.45,0.158796296
03:51.4,2.771527778,1.225000024,0.521759272,1,2.45,0.6125
03:57.0,2.544675926,1.225000024,0.907407403,0,2.45,0.907407407
04:02.3,2.363194444,0,0.113425925,1,0,0.113425926
04:08.0,2.306481481,1.225000024,0.385648161,1,2.45,0.408333333
04:13.5,2.07962963,1.225000024,0.816666663,1,2.45,0.884722222
04:19.3,1.86412037,1.225000024,0.13611111,1,2.45,0.226851852
04:24.7,1.625925926,1.225000024,0.612500012,1,2.45,0.703240741
04:30.2,1.410416667,1.225000024,0.907407403,0,2.45,0.907407407
04:35.8,1.25162037,0,0.13611111,1,0,0.136111111
04:41.7,1.194907407,1.225000024,0.408333331,1,2.45,0.453703704
04:47.0,0.956712963,1.225000024,0.839351833,1,2.45,0.907407407
04:52.8,0.752546296,1.225000024,0.158796296,1,2.45,0.181481481
04:58.4,0.537037037,1.225000024,0.635185182,1,2.45,0.635185185
05:03.4,0.310185185,1.225000024,0.907407403,0,2.45,0.907407407
05:08.8,5.765972222,0,0.09074074,1,0,0.090740741
05:14.4,5.720601852,1.225000024,0.362962961,1,2.45,0.385648148
05:20.0,5.49375,1.225000024,0.725925922,1,2.45,0.839351852
05:25.9,5.266898148,1.225000024,0.181481481,1,2.45,0.181481481
05:31.8,5.017361111,1.225000024,0.635185182,1,2.45,0.703240741
05:37.7,4.790509259,2.450000048,0,1,2.45,0.04537037
05:43.7,4.540972222,2.450000048,0.453703701,1,2.45,0.544444444
05:49.3,4.302777778,2.450000048,0.907407403,0,2.45,0.907407407
05:54.9,4.143981481,0,0.022685185,1,0,0.022685185
