timestamp,tank_liquidlevel,tank_upperbound,tank_lowerbound,flowlevel,sensor2_thresh,bottle_liquidlevel,bottle_upperbound,bottle_lowerbound,motor_status,class,attack_type
24:41.0,5.119444444,5.81,0.3,2.633316994,3,0.453703701,0.9,0,1,anomaly,Scaling
24:45.5,4.949305556,5.81,0.3,2.819519758,3,0.884722233,0.9,0,1,anomaly,Scaling
24:50.5,4.767824074,5.81,0.3,3.092839956,3,0.13611111,0.9,0,1,anomaly,Scaling
24:55.7,4.643055556,5.81,0.3,3.345576286,3,0.362962961,0.9,0,1,anomaly,Scaling
25:00.7,4.495601852,5.81,0.3,3.33987093,3,0.680555582,0.9,0,1,anomaly,Scaling
25:05.6,4.370833333,5.81,0.3,3.3675704,3,0.907407403,0.9,0,0,anomaly,Scaling
25:09.8,4.302777778,5.81,0.3,0.271096379,3,0,0.9,0,1,anomaly,Scaling
25:14.4,4.257407407,5.81,0.3,3.403321981,3,0.204166666,0.9,0,1,anomaly,Scaling
25:18.6,4.155324074,5.81,0.3,2.655211449,3,0.317592591,0.9,0,1,anomaly,Scaling
25:22.9,3.996527778,5.81,0.3,2.668958187,3,0.703240752,0.9,0,1,anomaly,Scaling
25:27.6,3.815046296,5.81,0.3,3.37015605,3,0,0.9,0,1,anomaly,Scaling
25:31.9,3.712962963,5.81,0.3,2.966005087,3,0.13611111,0.9,0,1,anomaly,Scaling
25:36.9,3.531481481,5.81,0.3,3.01254344,3,0.544444442,0.9,0,1,anomaly,Scaling
25:41.3,3.406712963,5.81,0.3,2.964266777,3,0.771296322,0.9,0,1,anomaly,Scaling
25:46.3,3.236574074,5.81,0.3,3.420050859,3,0.022685185,0.9,0,1,anomaly,Scaling
25:50.5,3.100462963,5.81,0.3,2.99768734,3,0.294907421,0.9,0,1,anomaly,Scaling
25:55.1,2.930324074,5.81,0.3,3.416480541,3,0.657870352,0.9,0,1,anomaly,Scaling
25:59.5,2.805555556,5.81,0.3,2.455717564,3,0.862037063,0.9,0,1,anomaly,Scaling
26:03.7,2.624074074,5.81,0.3,2.545608044,3,0.04537037,0.9,0,1,anomaly,Scaling
26:08.8,2.453935185,5.81,0.3,3.235551119,3,0.431018531,0.9,0,1,anomaly,Scaling
26:13.0,2.329166667,5.81,0.3,2.966888189,3,0.703240752,0.9,0,1,anomaly,Scaling
26:17.7,2.17037037,5.81,0.3,3.32060194,3,0,0.9,0,1,anomaly,Scaling
26:22.6,2.056944444,5.81,0.3,3.002438307,3,0.226851851,0.9,0,1,anomaly,Scaling
26:26.9,1.943518519,5.81,0.3,2.873862267,3,0.362962961,0.9,0,1,anomaly,Scaling
26:31.1,1.762037037,5.81,0.3,2.910527706,3,0.748611093,0.9,0,1,anomaly,Scaling
26:35.9,1.591898148,5.81,0.3,3.177392721,3,0.022685185,0.9,0,1,anomaly,Scaling
26:40.7,1.478472222,5.81,0.3,3.055049181,3,0.226851851,0.9,0,1,anomaly,Scaling
26:45.9,1.365046296,5.81,0.3,3.150812864,3,0.499074072,0.9,0,1,anomaly,Scaling
26:50.8,1.25162037,5.81,0.3,3.043306112,3,0.725925922,0.9,0,1,anomaly,Scaling
26:55.7,1.126851852,5.81,0.3,3.162213802,3,0.907407403,0.9,0,0,anomaly,Scaling
27:00.0,1.036111111,5.81,0.3,0.611322999,3,0,0.9,0,1,anomaly,Scaling
27:04.1,1.002083333,5.81,0.3,2.6216681,3,0.13611111,0.9,0,1,anomaly,Scaling
27:08.4,0.820601852,5.81,0.3,2.822065115,3,0.544444442,0.9,0,1,anomaly,Scaling
27:12.6,0.650462963,5.81,0.3,2.7202878,3,0.839351833,0.9,0,1,anomaly,Scaling
27:16.8,0.468981481,5.81,0.3,2.887394905,3,0.13611111,0.9,0,1,anomaly,Scaling
27:20.9,0.298842593,5.81,0.3,2.714045048,3,0.385648161,0.9,0,0,anomaly,Scaling
27:25.0,5.8,5.81,0.3,0.222865984,3,0.385648161,0.9,0,1,anomaly,Scaling
27:29.2,5.75462963,5.81,0.3,2.80956912,3,0.544444442,0.9,0,1,anomaly,Scaling
27:33.2,5.584490741,5.81,0.3,2.994743347,3,0.839351833,0.9,0,1,anomaly,Scaling
27:37.4,5.425694444,5.81,0.3,2.866783381,3,0.13611111,0.9,0,1,anomaly,Scaling
27:42.0,5.244212963,5.81,0.3,3.375890017,3,0.521759272,0.9,0,1,anomaly,Scaling
27:46.9,5.130787037,5.81,0.3,3.123389959,3,0.748611093,0.9,0,1,anomaly,Scaling
27:51.5,5.028703704,5.81,0.3,3.204243898,3,0.907407403,0.9,0,0,anomaly,Scaling
27:55.8,4.949305556,5.81,0.3,0.295250744,3,0,0.9,0,1,anomaly,Scaling
28:00.1,4.915277778,5.81,0.3,2.954021692,3,0.158796296,0.9,0,1,anomaly,Scaling
28:04.3,4.733796296,5.81,0.3,2.891902447,3,0.567129612,0.9,0,1,anomaly,Scaling
28:08.4,4.563657407,5.81,0.3,2.793343782,3,0.862037063,0.9,0,1,anomaly,Scaling
28:12.6,4.393518519,5.81,0.3,2.559604883,3,0.04537037,0.9,0,1,anomaly,Scaling
