timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,est_fl,est_ll
05:01.6,2.000231481,1.5,0.816666663,1,2.45,0.839351852
05:07.2,1.796064815,1.5,0.158796296,1,2.45,0.181481481
05:13.8,1.569212963,1.5,0.635185182,1,2.45,0.680555556
05:19.3,1.308333333,1.5,0.907407403,0,2.45,0.022685185
05:24.6,1.138194444,1.5,0.181481481,1,0,0.181481481
05:30.5,1.092824074,1.5,0.385648161,1,2.45,0.476388889
05:36.0,0.865972222,1.5,0.862037063,1,2.45,0.907407407
05:41.4,0.661805556,1.5,0.204166666,1,2.45,0.249537037
05:46.8,0.434953704,1.5,0.680555582,1,2.45,0.703240741
05:52.2,0.298842593,1.5,0,0,0,0
05:58.5,5.788657407,1.5,0,1,0,0
06:04.7,5.720601852,1.5,0.272222221,1,2.45,0.340277778
06:10.8,5.49375,1.5,0.771296322,1,2.45,0.862037037
06:19.5,5.244212963,1.5,0.226851851,1,2.45,0.294907407
06:28.7,4.949305556,1.5,0.793981493,1,2.45,0.907407407
06:36.0,4.62037037,1.5,0.408333331,1,2.45,0.476388889
06:41.6,4.336805556,1.5,0.907407403,0,2.45,0.907407407
06:47.1,4.166666667,1.5,0.022685185,1,0,0.022685185
06:52.7,4.121296296,1.5,0.294907421,1,2.45,0.317592593
06:58.3,3.894444444,1.5,0.725925922,1,2.45,0.771296296
07:04.2,3.667592593,1.5,0.068055555,1,2.45,0.136111111
07:09.8,3.429398148,1.5,0.521759272,1,2.45,0.6125
07:15.5,3.202546296,1.5,0.907407403,0,2.45,0.907407407
07:20.9,3.032407407,1.5,0.09074074,1,0,0.090740741
07:26.3,2.99837963,1.5,0.226851851,1,2.45,0.340277778
07:31.8,2.78287037,1.5,0.680555582,1,2.45,0.793981481
07:37.7,2.567361111,1.5,0.13611111,1,2.45,0.158796296
07:43.7,2.329166667,1.5,0.544444442,1,2.45,0.6125
07:49.1,2.090972222,1.5,0.907407403,0,2.45,0.907407407
07:54.7,1.932175926,1.5,0.09074074,1,0,0.090740741
08:00.7,1.875462963,1.5,0.317592591,1,2.45,0.385648148
08:06.7,1.648611111,2.450000048,0.771296322,1,2.45,0.907407407
08:12.4,1.410416667,2.450000048,0.226851851,1,2.45,0.272222222
08:17.9,1.183564815,2.450000048,0.657870352,1,2.45,0.725925926
08:23.8,0.956712963,2.450000048,0,1,2.45,0.090740741
08:29.5,0.718518519,2.450000048,0.476388901,1,2.45,0.589814815
