timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,est_fl,est_ll
41:09.6,2.714814815,3.675000191,0.657870352,1,2.45,0.65787037
41:16.2,2.612731481,3.675000191,0.907407403,0,2.45,0.907407407
41:21.6,2.510648148,0,0,1,0,0
41:28.4,2.453935185,3.675000191,0.340277791,1,2.45,0.340277778
41:35.1,2.306481481,3.675000191,0.657870352,1,2.45,0.65787037
41:41.6,2.136342593,3.675000191,0.907407403,0,2.45,0.907407407
41:47.3,2.034259259,0,0,1,0,0
41:54.0,1.977546296,3.675000191,0.294907421,1,2.45,0.294907407
42:00.8,1.830092593,3.675000191,0.635185182,1,2.45,0.635185185
42:07.3,1.659953704,3.675000191,0.907407403,0,2.45,0.907407407
42:14.6,1.55787037,0,0,1,0,0
42:21.6,1.489814815,3.675000191,0.385648161,1,2.45,0.385648148
42:28.2,1.319675926,3.675000191,0.703240752,1,2.45,0.703240741
42:36.1,1.16087963,3.675000191,0,1,2.45,0
42:42.6,0.968055556,3.675000191,0.272222221,1,2.45,0.317592593
42:49.0,0.820601852,3.675000191,0.635185182,1,2.45,0.635185185
42:55.2,0.661805556,3.675000191,0.907407403,0,2.45,0.907407407
43:00.8,0.571064815,0,0,1,0,0
43:08.4,0.514351852,3.675000191,0.362962961,1,2.45,0.362962963
43:13.8,0.344212963,2.450000048,0.589814842,1,2.45,0.65787037
43:19.3,5.731944444,2.450000048,0.907407403,0,2.45,0.907407407
43:24.9,5.550462963,0,0.13611111,1,0,0.136111111
43:30.7,5.505092593,2.450000048,0.385648161,1,2.45,0.431018519
43:36.2,5.266898148,2.450000048,0.839351833,1,2.45,0.907407407
43:41.8,5.051388889,2.450000048,0.204166666,1,2.45,0.249537037
43:47.3,4.824537037,2.450000048,0.635185182,1,2.45,0.680555556
43:52.9,4.609027778,2.450000048,0.907407403,0,2.45,0.022685185
43:58.6,4.438888889,0,0.181481481,1,0,0.181481481
44:04.7,4.393518519,2.450000048,0.408333331,1,2.45,0.499074074
44:10.3,4.155324074,2.450000048,0.907407403,0,2.45,0.907407407
44:16.1,3.985185185,0,0,1,0,0
44:22.5,3.928472222,2.450000048,0.294907421,1,2.45,0.340277778
44:28.2,3.667592593,2.450000048,1.190972209,0,2.45,0.862037037
44:34.0,3.486111111,0,0,1,0,0
44:40.0,3.440740741,2.450000048,0.306250006,1,2.45,0.317592593
44:45.8,3.191203704,2.450000048,1.190972209,0,2.45,0.816666667
44:51.5,3.009722222,0,0,1,0,0
44:57.1,2.953009259,2.450000048,0.374305546,1,2.45,0.340277778
45:02.9,2.7375,2.450000048,1.054861069,0,2.45,0.771296296
45:08.6,2.556018519,0,0,1,0,0
45:14.7,2.499305556,2.450000048,0.374305546,1,2.45,0.340277778
45:20.4,2.261111111,2.450000048,1.088888884,0,2.45,0.793981481
45:26.2,2.07962963,0,0,1,0,0
45:32.1,2.022916667,2.450000048,0.340277791,1,2.45,0.317592593
45:37.8,1.796064815,2.450000048,1.156944513,0,2.45,0.771296296
45:43.5,1.625925926,0,0,1,0,0
45:49.1,1.569212963,2.450000048,0.408333331,1,2.45,0.294907407
45:54.8,1.342361111,2.450000048,1.054861069,0,2.45,0.793981481
46:00.6,1.172222222,0,0,1,0,0
46:06.6,1.126851852,2.450000048,0.374305546,1,2.45,0.340277778
46:12.3,0.9,2.450000048,1.020833373,0,2.45,0.771296296
46:18.3,0.729861111,0,0,1,0,0
46:24.2,0.673148148,2.450000048,0.340277791,1,2.45,0.340277778
46:29.8,0.434953704,2.450000048,0.748611093,1,2.45,0.793981481
46:35.8,0.298842593,0,0,0,0,0
46:41.3,5.777314815,0,0,1,0,0
46:46.8,5.731944444,2.450000048,0.249537036,1,2.45,0.249537037
46:52.3,5.516435185,2.450000048,0.612500012,1,2.45,0.703240741
46:57.9,5.300925926,2.450000048,0.907407403,0,2.45,0.04537037
47:04.4,5.119444444,0,0.181481481,1,0,0.181481481
47:11.1,5.062731481,3.675000191,0.782638907,1,2.45,0.521759259
47:17.0,4.892592593,3.675000191,1.225000024,0,2.45,0.816666667
47:22.6,4.801851852,0,1.225000024,0,0,0.816666667
47:27.8,4.801851852,0,1.225000024,0,0,0.816666667
47:33.3,4.801851852,0,1.225000024,0,0,0.816666667
47:39.2,4.801851852,0,1.225000024,0,0,0.816666667
47:44.9,4.801851852,0,1.225000024,0,0,0.816666667
47:50.9,4.801851852,0,1.225000024,0,0,0.816666667
47:56.7,4.801851852,0,1.225000024,0,0,0.816666667
48:02.5,4.801851852,0,1.225000024,0,0,0.816666667
48:08.4,4.801851852,0,1.225000024,0,0,0.816666667
48:14.2,4.801851852,0,1.225000024,0,0,0.816666667
48:19.9,4.801851852,0,1.225000024,0,0,0.816666667
48:25.6,4.801851852,0,1.225000024,0,0,0.816666667
48:31.2,4.801851852,0,1.225000024,0,0,0.816666667
48:36.9,4.801851852,0,1.225000024,0,0,0.816666667
48:42.6,4.801851852,0,1.225000024,0,0,0.816666667
48:48.1,4.801851852,0,1.225000024,0,0,0.816666667
48:53.8,4.801851852,0,1.225000024,0,0,0.816666667
48:59.4,4.801851852,0,1.225000024,0,0,0.816666667
49:05.1,4.801851852,0,0.816666663,1,0,0.816666667
49:10.6,4.756481481,2.450000048,0.907407403,0,2.45,0.907407407
49:17.1,4.586342593,0,0.13611111,1,0,0.136111111
