timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,class
20:04.5,4.552314815,2.450000048,0.499074072,1,normal
20:09.5,4.359490741,2.450000048,0.907407403,0,normal
20:13.5,4.212037037,0,0,1,normal
20:17.7,4.178009259,2.450000048,0.13611111,1,normal
20:21.1,4.053240741,2.450000048,0.317592591,1,normal
20:24.2,3.91712963,2.450000048,0.612500012,1,normal
20:27.0,3.792361111,2.450000048,0.884722233,1,normal
20:30.0,3.678935185,2.450000048,0.022685185,1,normal
20:33.3,3.554166667,2.450000048,0.294907421,1,normal
20:36.6,3.418055556,2.450000048,0.612500012,1,normal
20:40.6,3.281944444,2.450000048,0.839351833,1,normal
20:43.8,3.123148148,2.450000048,0.09074074,1,normal
20:46.8,2.987037037,2.450000048,0.272222221,1,normal
20:50.0,2.862268519,2.450000048,0.544444442,1,normal
20:53.3,2.7375,2.450000048,0.816666663,1,normal
20:56.6,2.601388889,2.450000048,0.907407403,0,normal
21:00.0,2.499305556,0,0.113425925,1,normal
21:03.5,2.465277778,2.450000048,0.249537036,1,normal
21:06.9,2.317824074,2.450000048,0.567129612,1,normal
21:10.2,2.181712963,2.450000048,0.816666663,1,normal
21:13.5,2.045601852,2.450000048,0,1,normal
21:16.8,1.909490741,2.450000048,0.226851851,1,normal
21:20.2,1.77337963,2.450000048,0.544444442,1,normal
21:24.0,1.637268519,2.450000048,0.793981493,1,normal
21:27.4,1.478472222,2.450000048,0.022685185,1,normal
21:31.1,1.353703704,2.450000048,0.272222221,1,normal
21:34.7,1.194907407,2.450000048,0.612500012,1,normal
21:38.7,1.047453704,2.450000048,0.884722233,1,normal
21:42.2,0.888657407,2.450000048,0.113425925,1,normal
21:45.9,0.741203704,2.450000048,0.362962961,1,normal
21:49.7,0.59375,2.450000048,0.703240752,1,normal
21:52.8,0.446296296,2.450000048,0.907407403,0,normal
21:56.4,0.355555556,0,0,1,normal
21:59.8,0.310185185,2.450000048,0.158796296,1,normal
22:03.9,5.777314815,2.450000048,0.453703701,1,normal
22:07.6,5.629861111,2.450000048,0.771296322,1,normal
22:11.1,5.471064815,2.450000048,0.907407403,0,normal
22:14.4,5.368981481,2.450000048,0.09074074,1,normal
22:17.7,5.334953704,2.450000048,0.204166666,1,normal
22:21.2,5.198842593,2.450000048,0.453703701,1,normal
22:24.6,5.062731481,2.450000048,0.725925922,1,normal
22:28.2,4.92662037,2.450000048,0.907407403,0,normal
22:32.2,4.824537037,0,0.09074074,1,normal
