motor_status,timestamp,ub_tank,lb_bottle,ub_bottle,flowlevel,ll_tank,ll_bottle,lb_tank,sensor2_thresh,traffic
1,2021-05-03 09:14:03.382829,5.81,0.0,0.9,0.0,5.26689814814817,0.04537037014961243,0.3,3.0,normal
1,2021-05-03 09:14:06.186209,5.81,0.0,0.9,2.450000047683716,5.23287037037039,0.1587962955236435,0.3,3.0,normal
1,2021-05-03 09:14:09.148055,5.81,0.0,0.9,2.450000047683716,5.11944444444446,0.43101853132247925,0.3,3.0,normal
1,2021-05-03 09:14:12.247667,5.81,0.0,0.9,2.450000047683716,4.99467592592594,0.6805555820465088,0.3,3.0,normal
0,2021-05-03 09:14:15.203386,5.81,0.0,0.9,2.450000047683716,4.86990740740742,0.9074074029922485,0.3,3.0,normal
1,2021-05-03 09:14:18.241599,5.81,0.0,0.9,0.0,4.79050925925927,0.0,0.3,3.0,normal
1,2021-05-03 09:14:21.198782,5.81,0.0,0.9,2.450000047683716,4.75648148148149,0.11342592537403107,0.3,3.0,normal
1,2021-05-03 09:14:24.199738,5.81,0.0,0.9,2.450000047683716,4.63171296296297,0.40833333134651184,0.3,3.0,normal
1,2021-05-03 09:14:27.034842,5.81,0.0,0.9,2.450000047683716,4.50694444444445,0.635185182094574,0.3,3.0,normal
1,2021-05-03 09:14:29.738382,5.81,0.0,0.9,2.450000047683716,4.39351851851852,0.8166666626930237,0.3,3.0,normal
0,2021-05-03 09:14:32.547454,5.81,0.0,0.9,2.450000047683716,4.2800925925926,0.9074074029922485,0.3,3.0,normal
1,2021-05-03 09:14:35.475226,5.81,0.0,0.9,0.0,4.21203703703704,0.04537037014961243,0.3,3.0,normal
1,2021-05-03 09:14:38.564446,5.81,0.0,0.9,2.450000047683716,4.17800925925926,0.13611111044883728,0.3,3.0,normal
1,2021-05-03 09:14:41.634663,5.81,0.0,0.9,2.450000047683716,4.05324074074074,0.45370370149612427,0.3,3.0,normal
1,2021-05-03 09:14:44.597489,5.81,0.0,0.9,0.0,3.93981481481481,0.5898148417472839,0.3,3.0,normal
1,2021-05-03 09:14:47.356325,5.81,0.0,0.9,2.450000047683716,3.90578703703704,0.657870352268219,0.3,3.0,normal
0,2021-05-03 09:14:51.099640,5.81,0.0,0.9,2.450000047683716,3.79236111111111,0.9074074029922485,0.3,3.0,normal
1,2021-05-03 09:14:56.165092,5.81,0.0,0.9,0.0,3.69027777777777,0.0,0.3,3.0,normal
1,2021-05-03 09:15:01.601930,5.81,0.0,0.9,2.450000047683716,3.65625,0.1814814805984497,0.3,3.0,normal
1,2021-05-03 09:15:04.745044,5.81,0.0,0.9,2.450000047683716,3.44074074074073,0.5217592716217041,0.3,3.0,normal
1,2021-05-03 09:15:10.170689,5.81,0.0,0.9,2.450000047683716,3.31597222222221,0.8620370626449585,0.3,3.0,normal
1,2021-05-03 09:15:13.842292,5.81,0.0,0.9,2.450000047683716,3.10046296296295,0.13611111044883728,0.3,3.0,normal
1,2021-05-03 09:15:19.247451,5.81,0.0,0.9,2.450000047683716,2.94166666666665,0.5217592716217041,0.3,3.0,normal
1,2021-05-03 09:15:22.353229,5.81,0.0,0.9,2.450000047683716,2.72615740740739,0.8620370626449585,0.3,3.0,normal
1,2021-05-03 09:15:25.649075,5.81,0.0,0.9,2.450000047683716,2.60138888888887,0.022685185074806213,0.3,3.0,normal
1,2021-05-03 09:15:29.162541,5.81,0.0,0.9,2.450000047683716,2.46527777777776,0.3629629611968994,0.3,3.0,normal
1,2021-05-03 09:15:32.214904,5.81,0.0,0.9,2.450000047683716,2.32916666666665,0.5898148417472839,0.3,3.0,normal
1,2021-05-03 09:15:35.251201,5.81,0.0,0.9,2.450000047683716,2.20439814814813,0.7939814925193787,0.3,3.0,normal
0,2021-05-03 09:15:38.130660,5.81,0.0,0.9,2.450000047683716,2.0909722222222,0.9074074029922485,0.3,3.0,normal
1,2021-05-03 09:15:40.941951,5.81,0.0,0.9,0.0,2.00023148148146,0.06805555522441864,0.3,3.0,normal
1,2021-05-03 09:15:45.239208,5.81,0.0,0.9,2.450000047683716,1.96620370370368,0.1587962955236435,0.3,3.0,normal
