motor_status,timestamp,ub_tank,lb_bottle,ub_bottle,flowlevel,ll_tank,ll_bottle,lb_tank,sensor2_thresh
1,2021-05-03 20:35:37.414824,5.81,0.0,0.9,2.450000047683716,4.99467592592594,0.5898148417472839,0.3,3.0
1,2021-05-03 20:35:41.503443,5.81,0.0,0.9,2.450000047683716,4.88125000000001,0.8620370626449585,0.3,3.0
1,2021-05-03 20:35:46.340045,5.81,0.0,0.9,2.450000047683716,4.77916666666668,0.06805555522441864,0.3,3.0
1,2021-05-03 20:35:52.865248,5.81,0.0,0.9,2.450000047683716,4.64305555555556,0.29490742087364197,0.3,3.0
1,2021-05-03 20:35:58.159587,5.81,0.0,0.9,2.450000047683716,4.41620370370371,0.8620370626449585,0.3,3.0
1,2021-05-03 20:36:02.786352,5.81,0.0,0.9,2.450000047683716,4.21203703703704,0.022685185074806213,0.3,3.0
1,2021-05-03 20:36:06.643828,5.81,0.0,0.9,2.450000047683716,4.15532407407408,0.20416666567325592,0.3,3.0
0,2021-05-03 20:36:11.208646,5.81,0.0,0.9,2.450000047683716,4.00787037037037,0.4990740716457367,0.3,3.0
1,2021-05-03 20:36:14.973833,5.81,0.0,0.9,0.0,3.87175925925926,0.6805555820465088,0.3,3.0
1,2021-05-03 20:36:18.367401,5.81,0.0,0.9,2.450000047683716,3.83773148148148,0.8393518328666687,0.3,3.0
0,2021-05-03 20:36:22.504674,5.81,0.0,0.9,2.450000047683716,3.69027777777777,0.04537037014961243,0.3,3.0
1,2021-05-03 20:36:26.214752,5.81,0.0,0.9,0.0,3.54282407407407,0.22685185074806213,0.3,3.0
1,2021-05-03 20:36:29.721405,5.81,0.0,0.9,2.450000047683716,3.4974537037037,0.3402777910232544,0.3,3.0
1,2021-05-03 20:36:32.891353,5.81,0.0,0.9,2.450000047683716,3.34999999999999,0.7032407522201538,0.3,3.0
0,2021-05-03 20:36:36.978213,5.81,0.0,0.9,2.450000047683716,3.22523148148147,0.9074074029922485,0.3,3.0
1,2021-05-03 20:36:40.999948,5.81,0.0,0.9,0.0,3.19120370370369,0.0,0.3,3.0
1,2021-05-03 20:36:44.736590,5.81,0.0,0.9,2.450000047683716,3.13449074074073,0.1814814805984497,0.3,3.0
1,2021-05-03 20:36:48.208564,5.81,0.0,0.9,2.450000047683716,2.98703703703702,0.43101853132247925,0.3,3.0
1,2021-05-03 20:36:51.738226,5.81,0.0,0.9,2.450000047683716,2.94166666666665,0.612500011920929,0.3,3.0
1,2021-05-03 20:36:55.086224,5.81,0.0,0.9,2.450000047683716,2.79421296296295,0.8620370626449585,0.3,3.0
1,2021-05-03 20:36:59.554594,5.81,0.0,0.9,2.450000047683716,2.65810185185184,0.06805555522441864,0.3,3.0
1,2021-05-03 20:37:02.702998,5.81,0.0,0.9,2.450000047683716,2.5560185185185,0.1814814805984497,0.3,3.0
1,2021-05-03 20:37:05.701925,5.81,0.0,0.9,2.450000047683716,2.43124999999998,0.43101853132247925,0.3,3.0
0,2021-05-03 20:37:09.486201,5.81,0.0,0.9,2.450000047683716,2.30648148148146,0.7032407522201538,0.3,3.0
1,2021-05-03 20:37:12.737851,5.81,0.0,0.9,0.0,2.20439814814813,0.8620370626449585,0.3,3.0
0,2021-05-03 20:37:15.615911,5.81,0.0,0.9,2.450000047683716,2.17037037037035,0.9074074029922485,0.3,3.0
1,2021-05-03 20:37:18.811457,5.81,0.0,0.9,0.0,2.07962962962961,0.0,0.3,3.0
1,2021-05-03 20:37:23.214389,5.81,0.0,0.9,2.450000047683716,2.04560185185183,0.1587962955236435,0.3,3.0
1,2021-05-03 20:37:26.601287,5.81,0.0,0.9,2.450000047683716,1.95486111111109,0.3402777910232544,0.3,3.0
1,2021-05-03 20:37:30.022756,5.81,0.0,0.9,2.450000047683716,1.81874999999997,0.5444444417953491,0.3,3.0
0,2021-05-03 20:37:33.703029,5.81,0.0,0.9,2.450000047683716,1.68263888888886,0.9074074029922485,0.3,3.0
1,2021-05-03 20:37:36.877515,5.81,0.0,0.9,0.0,1.6145833333333,0.0,0.3,3.0
1,2021-05-03 20:37:39.780186,5.81,0.0,0.9,2.450000047683716,1.56921296296293,0.11342592537403107,0.3,3.0
1,2021-05-03 20:37:42.823578,5.81,0.0,0.9,2.450000047683716,1.44444444444441,0.3629629611968994,0.3,3.0
